,strain,plasmid,backbone,iptg,log_mean_gfp,log_mean_v,log_std_gfp,log_std_v,log_rho,fit_goodness,std_gfp_correct,volume_decomposed_log_mean_gfp,rrpu
45,KT2440,Amer_f1,pSeva221,500,4.5795705811728356,2.61151282171185,0.5992968915449426,0.7335421745499269,0.3817871353470708,0.9813514978808764,0.5539003208521074,4.584618951660229,10.052422159096182
46,KT2440,Amer_f1,pSeva221,1000,4.614334108520726,2.6492972082783437,0.6098166128411733,0.7629375411735111,0.3612868350334288,0.9803561478002828,0.5686263848579486,4.608096708410109,10.294327944082156
47,KT2440,Amer_f1,pSeva221,2000,4.572676386671176,2.7632176969450186,0.5893242451931414,0.7541513547077799,0.42113766251169976,0.9796455366308134,0.5345151636194101,4.5280776215247736,9.492628948157288
48,KT2440,Amtr_a1,pSeva221,0,2.9159562712275813,2.708722987975401,0.459461683869992,0.6296684969902082,0.638012542515334,0.9762250618102998,0.3537974291335723,2.878234990988819,1.7177389926392472
49,KT2440,Amtr_a1,pSeva221,5,2.798919869851077,2.624352291385439,0.456685606595803,0.6184563052848415,0.6400809475194338,0.9758729220004032,0.3508749666044509,2.8005011527310733,1.5794943930299092
50,KT2440,Amtr_a1,pSeva221,10,2.831969411831088,2.6019378202105354,0.4355735814739661,0.5871490978579968,0.6523178289353413,0.9781197473662476,0.3301410558472209,2.844435162806642,1.6563056651789738
51,KT2440,Amtr_a1,pSeva221,20,2.6982380250533318,2.5844376318129783,0.44793992596099197,0.612786950544308,0.6333506691493043,0.9770109661552356,0.34664499944923066,2.7182662762032272,1.4444830149510037
52,KT2440,Amtr_a1,pSeva221,30,2.67656758121989,2.572218641619036,0.4443434578911868,0.5967149732795657,0.6413280508620701,0.9800805110375412,0.3409299797926204,2.7030624765923275,1.4207151736164794
53,KT2440,Amtr_a1,pSeva221,40,2.6317790121164037,2.585479019246455,0.4548030603667771,0.6267908328733106,0.6422468620659579,0.9782893509631052,0.34860557213118976,2.651453740899956,1.3426788721340872
54,KT2440,Amtr_a1,pSeva221,70,2.662517517062536,2.682909652521144,0.453626853737655,0.6327161214665145,0.6079772122101385,0.9757662020379838,0.36015907080818715,2.6384512228772867,1.32364506648829
55,KT2440,Amtr_a1,pSeva221,100,2.5701760955511186,2.661900031941736,0.4624647682065406,0.6297046490177667,0.6076152555164228,0.9793498131584444,0.3673040940238169,2.554913638393088,1.2070876597233915
56,KT2440,Amtr_a1,pSeva221,200,2.445229074855117,2.6682812603075705,0.4538393236587175,0.6255758051737639,0.6228900947756203,0.9786317908620304,0.3550427494091451,2.4268897927494173,1.0463272420500869
57,KT2440,Amtr_a1,pSeva221,500,2.171782207538906,2.71565697628221,0.481731168143837,0.6469708753542733,0.5885290943935081,0.9780519560270294,0.38946810650955377,2.133237127975409,0.7468119072620389
58,KT2440,Amtr_a1,pSeva221,1000,1.7952497161046832,2.6553337587290757,0.4775536758244551,0.6553443458945326,0.5841613932314987,0.9789402709048608,0.3876004819326868,1.7834855943084176,0.48782171842775146
59,KT2440,Amtr_a1,pSeva221,2000,1.576856148706851,2.8935334506893633,0.4547465033147002,0.651316717419183,0.6336141418307059,0.9718160068819004,0.3518142786644337,1.4592540222542414,0.3165385222320622
60,KT2440,Beti_e1,pSeva221,0,3.615257668545968,2.783638053489734,0.4451118988223167,0.6201291333134082,0.6451435526253556,0.9709437975526172,0.3400928128623913,3.543046965016585,3.462909574990095
61,KT2440,Beti_e1,pSeva221,5,3.4456521206947146,2.6457019859421007,0.4728485107517982,0.6434602265652078,0.5987395608227472,0.9774728326336788,0.3787250734464435,3.4377305558972537,3.103689871670711
62,KT2440,Beti_e1,pSeva221,10,3.4330136169619188,2.6107857027764654,0.4647455732899899,0.6220481650964749,0.6094003700019059,0.976495777124232,0.3684794089470779,3.4407136442131288,3.1133527896030286
63,KT2440,Beti_e1,pSeva221,20,3.4266508287480537,2.658966474139211,0.464002849807232,0.6266513239460556,0.6135422097268727,0.9778182894008128,0.3664053839041408,3.4124456027258456,3.0229333854135425
64,KT2440,Beti_e1,pSeva221,30,3.381179587134676,2.5802000719624405,0.4580407236129985,0.6296700194115624,0.6104343954061925,0.9797681667962246,0.3627988598337567,3.402270880186662,2.991008586577869
65,KT2440,Beti_e1,pSeva221,40,3.37162613225125,2.580225940522816,0.4699376691693692,0.638904938014302,0.6011727229542979,0.9769073366236486,0.37553617347358775,3.3926174557299147,2.961018260881425
66,KT2440,Beti_e1,pSeva221,70,3.363640648114204,2.5992533273386096,0.4586191498057213,0.6261714953973333,0.6023687723604088,0.9734572930041766,0.366078027931224,3.3761899545065135,2.9106437219595116
67,KT2440,Beti_e1,pSeva221,100,3.3303208860266675,2.5929644941218184,0.4561832303692651,0.6258520560134276,0.6084702946197841,0.9778354093082792,0.3620163600703072,3.3457255965142227,2.819387795429777
68,KT2440,Beti_e1,pSeva221,200,3.3333508916076218,2.651750151271774,0.4556491056560544,0.627976265134189,0.6134337464740263,0.9761509099263308,0.3598471434573288,3.3226452695265336,2.752078232432933
69,KT2440,Beti_e1,pSeva221,500,3.2721026268572437,2.701547774814167,0.44846691273649897,0.6227512572015964,0.6329640909461004,0.9734157667848066,0.3471946321385903,3.2384402306674964,2.519271876703775
70,KT2440,Beti_e1,pSeva221,1000,3.1306992879002533,2.569921493585217,0.4459490427832611,0.6145851127187865,0.6250817189650498,0.9776819660465778,0.3480896794690527,3.15690464101718,2.311777733425738
71,KT2440,Beti_e1,pSeva221,2000,3.16738176763979,2.8172523969157903,0.4232444458553167,0.6014663738710646,0.6897998595705919,0.97549071408419,0.3064290237357612,3.0753712945636584,2.1205354509999785
72,KT2440,Bm3r1_b1,pSeva221,0,2.6998115836312984,2.7171070886091155,0.483683984378499,0.6371689776726872,0.6076615058009767,0.9796137121980104,0.3841399489811884,2.658568484524505,1.3531990646100047
73,KT2440,Bm3r1_b1,pSeva221,5,2.6079825351811685,2.538708653503196,0.4799420734787374,0.6237427163218838,0.6088604443101352,0.9816102181305404,0.3807271778155106,2.649673149666218,1.3400576959978703
74,KT2440,Bm3r1_b1,pSeva221,10,2.6511054633734656,2.582571396939186,0.4664779824347688,0.6142459593179808,0.6203754865456951,0.983014742748622,0.3658609910163339,2.6723660136573435,1.373815297970951
75,KT2440,Bm3r1_b1,pSeva221,20,2.634041682850289,2.590560137625168,0.4794617161609981,0.6389392148168307,0.6078282081055714,0.9798107625992298,0.380725471946041,2.6509807771612497,1.3419821754969206
76,KT2440,Bm3r1_b1,pSeva221,30,2.573492532449552,2.5424526661429896,0.4798526206326381,0.6246161918204935,0.6081697386692824,0.9821021479871226,0.3809103739772421,2.613320596962394,1.287551538603646
77,KT2440,Bm3r1_b1,pSeva221,40,2.5502232846573016,2.4733687528306345,0.4942509028826471,0.6699283933655381,0.6462793919890394,0.9864789336276674,0.37716329712786734,2.623807923133978,1.3025036186429022
78,KT2440,Bm3r1_b1,pSeva221,70,2.6176415249254967,2.600179709403992,0.4828593175320902,0.6298466078371506,0.5961042397291169,0.982181468140168,0.3876911515389658,2.6302170706489774,1.3117188210995765
79,KT2440,Bm3r1_b1,pSeva221,100,2.6327065215803023,2.64579851174642,0.4776391483620021,0.6320252359753615,0.6152395572115938,0.978291228049409,0.3765421466872784,2.6242905430233976,1.3031954849172978
80,KT2440,Bm3r1_b1,pSeva221,200,2.608521998628037,2.5846984620712257,0.4979391451016661,0.6648735443566934,0.6334741090257552,0.9790275815726456,0.3852873285219492,2.6289219054016977,1.3098518415092872
81,KT2440,Bm3r1_b1,pSeva221,500,2.621446384576718,2.6362966822225298,0.4807401054608275,0.6387748370149844,0.6030580931182984,0.9805766668823772,0.38348507023567424,2.61754371245728,1.2935537028150144
82,KT2440,Bm3r1_b1,pSeva221,1000,2.6210959482967864,2.6357441936339114,0.488891364221743,0.6340980880928633,0.597015388549442,0.9817878149738768,0.3922032133662547,2.6173922042152187,1.2933379308635975
83,KT2440,Bm3r1_b1,pSeva221,2000,2.5858755652737986,2.6849935250159462,0.4855659758608733,0.6413551609214142,0.6082998100928926,0.9821298185444474,0.3853972789332479,2.559488608355556,1.2132220838831564
84,KT2440,Bm3r1_b2,pSeva221,0,2.172985540725584,2.6852922773958454,0.4627669008332799,0.6326312530008582,0.6062630444463744,0.9807695485234204,0.36802194136181504,2.1474436325683564,0.759367457312858
85,KT2440,Bm3r1_b2,pSeva221,5,2.1608391654451,2.620125718320166,0.4525280246536989,0.6260518756487053,0.6091754418910147,0.978141968635001,0.35887078165789865,2.1641733888638397,0.77438356099744
