,strain,plasmid,backbone,iptg,rrpu
308,DH5alpha,1818,pAN,200,1.921403220068196
309,DH5alpha,1818,pAN,500,2.040334406933836
310,DH5alpha,1818,pAN,1000,2.435174739990338
311,DH5alpha,1818,pAN,2000,3.6529198122048765
312,DH5alpha,Amer_f1,pAN,1,7.243444802178552
313,DH5alpha,Amer_f1,pAN,5,8.025482380223915
314,DH5alpha,Amer_f1,pAN,10,7.364307890049878
315,DH5alpha,Amer_f1,pAN,20,5.9565705797713795
316,DH5alpha,Amer_f1,pAN,30,5.669354830625752
317,DH5alpha,Amer_f1,pAN,40,3.1501781030145257
318,DH5alpha,Amer_f1,pAN,70,1.8993779565468767
319,DH5alpha,Amer_f1,pAN,100,1.7021062958345563
320,DH5alpha,Amer_f1,pAN,200,1.948334154775121
321,DH5alpha,Amer_f1,pAN,500,1.340947271489277
322,DH5alpha,Amer_f1,pAN,1000,1.1866559877375211
323,DH5alpha,Amer_f1,pAN,2000,1.5851897153082457
324,DH5alpha,Amtr_a1,pAN,1,1.3786933808258883
325,DH5alpha,Amtr_a1,pAN,5,0.7110532203029505
326,DH5alpha,Amtr_a1,pAN,10,0.4101879491793536
327,DH5alpha,Amtr_a1,pAN,20,0.3522309929921517
328,DH5alpha,Amtr_a1,pAN,30,0.3469456134188427
329,DH5alpha,Amtr_a1,pAN,40,0.3386951995830507
330,DH5alpha,Amtr_a1,pAN,70,0.3645872002484112
331,DH5alpha,Amtr_a1,pAN,100,0.37129818544104826
332,DH5alpha,Amtr_a1,pAN,200,0.3737593025546127
333,DH5alpha,Amtr_a1,pAN,500,0.4034888188344552
334,DH5alpha,Amtr_a1,pAN,1000,0.3398702538324835
335,DH5alpha,Amtr_a1,pAN,2000,0.26067570739803897
336,DH5alpha,Beti_e1,pAN,1,3.7500361019647537
337,DH5alpha,Beti_e1,pAN,5,3.5788247754480396
338,DH5alpha,Beti_e1,pAN,10,2.0806268154911995
339,DH5alpha,Beti_e1,pAN,20,0.9251473432239126
340,DH5alpha,Beti_e1,pAN,30,0.4068454249195633
341,DH5alpha,Beti_e1,pAN,40,0.3786084426696277
342,DH5alpha,Beti_e1,pAN,70,0.32816350994675303
343,DH5alpha,Beti_e1,pAN,100,0.3946655755342959
344,DH5alpha,Beti_e1,pAN,200,0.34446008116163784
345,DH5alpha,Beti_e1,pAN,500,0.3648776894060027
346,DH5alpha,Beti_e1,pAN,1000,0.3533382375950592
347,DH5alpha,Beti_e1,pAN,2000,0.3676536194833377
348,DH5alpha,Bm3r1_b1,pAN,1,0.5918724088230258
349,DH5alpha,Bm3r1_b1,pAN,5,0.35378547889692114
350,DH5alpha,Bm3r1_b1,pAN,10,0.3551838585755913
351,DH5alpha,Bm3r1_b1,pAN,20,0.29749462696964435
352,DH5alpha,Bm3r1_b1,pAN,30,0.319582831491454
353,DH5alpha,Bm3r1_b1,pAN,40,0.35226633322066914
354,DH5alpha,Bm3r1_b1,pAN,70,0.29243160458164963
355,DH5alpha,Bm3r1_b1,pAN,100,0.2886863714112851
356,DH5alpha,Bm3r1_b1,pAN,200,0.2950209210266487
357,DH5alpha,Bm3r1_b1,pAN,500,0.2556650903382076
358,DH5alpha,Bm3r1_b1,pAN,1000,0.2418610483248574
359,DH5alpha,Bm3r1_b1,pAN,2000,0.2640674843017635
360,DH5alpha,Bm3r1_b2,pAN,1,0.7170414974615145
361,DH5alpha,Bm3r1_b2,pAN,5,0.7149431403985165
362,DH5alpha,Bm3r1_b2,pAN,10,0.4851290104201016
363,DH5alpha,Bm3r1_b2,pAN,20,0.44508114304203994
364,DH5alpha,Bm3r1_b2,pAN,30,0.33762112553763696
365,DH5alpha,Bm3r1_b2,pAN,40,0.33289542168161
366,DH5alpha,Bm3r1_b2,pAN,70,0.33804416123904235
367,DH5alpha,Bm3r1_b2,pAN,100,0.3448584418666801
368,DH5alpha,Bm3r1_b2,pAN,200,0.3470815136453564
369,DH5alpha,Bm3r1_b2,pAN,500,0.3218706192416871
370,DH5alpha,Bm3r1_b2,pAN,1000,0.30876299962361914
371,DH5alpha,Bm3r1_b2,pAN,2000,0.2592786187708521
372,DH5alpha,Bm3r1_b3,pAN,1,0.6550215430226808
373,DH5alpha,Bm3r1_b3,pAN,5,0.5763349517918913
374,DH5alpha,Bm3r1_b3,pAN,10,0.39595816849840093
375,DH5alpha,Bm3r1_b3,pAN,20,0.3195986754939877
376,DH5alpha,Bm3r1_b3,pAN,30,0.3084559306611633
377,DH5alpha,Bm3r1_b3,pAN,40,0.3033599199002211
378,DH5alpha,Bm3r1_b3,pAN,70,0.3103719443152539
379,DH5alpha,Bm3r1_b3,pAN,100,0.2898700942786029
380,DH5alpha,Bm3r1_b3,pAN,200,0.2727332378728993
381,DH5alpha,Bm3r1_b3,pAN,500,0.32649985288027744
382,DH5alpha,Bm3r1_b3,pAN,1000,0.29066246465282897
383,DH5alpha,Bm3r1_b3,pAN,2000,0.379544722535167
384,DH5alpha,Hiyiir_h1,pAN,1,2.5682545116596347
385,DH5alpha,Hiyiir_h1,pAN,5,1.2284771778251904
386,DH5alpha,Hiyiir_h1,pAN,10,0.5852852006943834
387,DH5alpha,Hiyiir_h1,pAN,20,0.2656420750134571
388,DH5alpha,Hiyiir_h1,pAN,30,0.2305528142086716
389,DH5alpha,Hiyiir_h1,pAN,40,0.2270123225119569
390,DH5alpha,Hiyiir_h1,pAN,70,0.2462522772376525
391,DH5alpha,Hiyiir_h1,pAN,100,0.21742590621764776
392,DH5alpha,Hiyiir_h1,pAN,200,0.2444485315933404
393,DH5alpha,Hiyiir_h1,pAN,500,0.2263095753947276
394,DH5alpha,Hiyiir_h1,pAN,1000,0.23269947269948965
395,DH5alpha,Hiyiir_h1,pAN,2000,0.2576158716407455
396,DH5alpha,Lcara_i1,pAN,1,2.2618554168691265
397,DH5alpha,Lcara_i1,pAN,5,1.3153043742670878
398,DH5alpha,Lcara_i1,pAN,10,1.6639205286514598
399,DH5alpha,Lcara_i1,pAN,20,0.4645193351625792
400,DH5alpha,Lcara_i1,pAN,30,0.3783521668000723
401,DH5alpha,Lcara_i1,pAN,40,0.35456354647442617
402,DH5alpha,Lcara_i1,pAN,70,0.3193299705887361
403,DH5alpha,Lcara_i1,pAN,100,0.33118749247132595
404,DH5alpha,Lcara_i1,pAN,200,0.3164723848372455
405,DH5alpha,Lcara_i1,pAN,500,0.2776931729881569
406,DH5alpha,Lcara_i1,pAN,1000,0.27141192473574144
407,DH5alpha,Lcara_i1,pAN,2000,0.2283317880475885
408,DH5alpha,Litr_l1,pAN,1,7.861127274751858
409,DH5alpha,Litr_l1,pAN,5,5.261412730886998
410,DH5alpha,Litr_l1,pAN,10,3.2726133198757466
411,DH5alpha,Litr_l1,pAN,20,1.091959544790006
412,DH5alpha,Litr_l1,pAN,30,0.5187000324655813
413,DH5alpha,Litr_l1,pAN,40,0.4291183326805045
414,DH5alpha,Litr_l1,pAN,70,0.3649733307041929
415,DH5alpha,Litr_l1,pAN,100,0.41964763664724347
416,DH5alpha,Litr_l1,pAN,200,0.3471370951604369
417,DH5alpha,Litr_l1,pAN,500,0.3581105865535883
418,DH5alpha,Litr_l1,pAN,1000,0.3561717417668868
419,DH5alpha,Litr_l1,pAN,2000,0.3280452908876428
